t,x,y
18.458,0.174,-1.406
18.478,0.218,-1.326
18.498,0.244,-1.236
18.519,0.244,-1.159
18.539,0.212,-1.096
18.559,0.140,-1.045
18.579,0.033,-1.003
18.599,-0.077,-0.969
18.619,-0.171,-0.929
18.639,-0.233,-0.883
18.659,-0.251,-0.844
18.679,-0.218,-0.816
18.699,-0.149,-0.802
18.719,-0.065,-0.804
18.739,0.015,-0.824
18.759,0.080,-0.839
18.779,0.127,-0.845
18.799,0.149,-0.842
18.819,0.164,-0.824
18.839,0.184,-0.783
18.859,0.215,-0.735
18.879,0.252,-0.695
18.899,0.297,-0.666
18.919,0.333,-0.661
18.939,0.355,-0.692
18.959,0.363,-0.750
18.979,0.357,-0.809
18.999,0.347,-0.857
19.019,0.342,-0.886
19.039,0.345,-0.889
19.059,0.356,-0.879
19.079,0.377,-0.867
19.099,0.397,-0.864
19.119,0.412,-0.866
19.139,0.426,-0.876
19.159,0.438,-0.882
19.179,0.450,-0.886
19.199,0.465,-0.882
19.219,0.481,-0.874
19.239,0.495,-0.857
19.259,0.500,-0.831
19.279,0.486,-0.798
19.299,0.450,-0.762
19.319,0.389,-0.727
19.339,0.280,-0.698
19.359,0.128,-0.684
19.379,-0.049,-0.685
19.399,-0.214,-0.690
19.419,-0.355,-0.693
19.439,-0.413,-0.686
19.459,-0.368,-0.666
19.479,-0.238,-0.627
19.499,-0.078,-0.582
19.520,0.100,-0.532
19.540,0.252,-0.485
19.560,0.339,-0.449
19.580,0.371,-0.429
19.600,0.378,-0.424
19.620,0.365,-0.434
19.640,0.343,-0.453
19.660,0.335,-0.463
19.680,0.333,-0.458
19.700,0.326,-0.435
19.720,0.304,-0.396
19.740,0.270,-0.343
19.760,0.222,-0.287
19.780,0.169,-0.234
19.800,0.120,-0.185
19.820,0.081,-0.140
19.840,0.054,-0.103
19.860,0.036,-0.072
19.880,0.024,-0.048
19.900,0.017,-0.031
19.920,0.012,-0.020
19.940,0.008,-0.013
19.960,0.006,-0.008
19.980,0.004,-0.005
20.000,0.003,-0.004
